Groups:
CM[7:0] =, CM[7], CM[6], CM[5], CM[4], CM[3], CM[2], CM[1], CM[0], ,
cnt[3:0] =, cnt[3], cnt[2], cnt[1], cnt[0], ,
mcData[63:0] =, mcData[63], mcData[62], mcData[61], mcData[60], mcData[59], mcData[58], mcData[57], mcData[56], mcData[55], mcData[54], mcData[53], mcData[52], mcData[51], mcData[50], mcData[49], mcData[48], mcData[47], mcData[46], mcData[45], mcData[44], mcData[43], mcData[42], mcData[41], mcData[40], mcData[39], mcData[38], mcData[37], mcData[36], mcData[35], mcData[34], mcData[33], mcData[32], mcData[31], mcData[30], mcData[29], mcData[28], mcData[27], mcData[26], mcData[25], mcData[24], mcData[23], mcData[22], mcData[21], mcData[20], mcData[19], mcData[18], mcData[17], mcData[16], mcData[15], mcData[14], mcData[13], mcData[12], mcData[11], mcData[10], mcData[9], mcData[8], mcData[7], mcData[6], mcData[5], mcData[4], mcData[3], mcData[2], mcData[1], mcData[0], ,
ram/data_in[63:0] =, ram/data_in[63], ram/data_in[62], ram/data_in[61], ram/data_in[60], ram/data_in[59], ram/data_in[58], ram/data_in[57], ram/data_in[56], ram/data_in[55], ram/data_in[54], ram/data_in[53], ram/data_in[52], ram/data_in[51], ram/data_in[50], ram/data_in[49], ram/data_in[48], ram/data_in[47], ram/data_in[46], ram/data_in[45], ram/data_in[44], ram/data_in[43], ram/data_in[42], ram/data_in[41], ram/data_in[40], ram/data_in[39], ram/data_in[38], ram/data_in[37], ram/data_in[36], ram/data_in[35], ram/data_in[34], ram/data_in[33], ram/data_in[32], ram/data_in[31], ram/data_in[30], ram/data_in[29], ram/data_in[28], ram/data_in[27], ram/data_in[26], ram/data_in[25], ram/data_in[24], ram/data_in[23], ram/data_in[22], ram/data_in[21], ram/data_in[20], ram/data_in[19], ram/data_in[18], ram/data_in[17], ram/data_in[16], ram/data_in[15], ram/data_in[14], ram/data_in[13], ram/data_in[12], ram/data_in[11], ram/data_in[10], ram/data_in[9], ram/data_in[8], ram/data_in[7], ram/data_in[6], ram/data_in[5], ram/data_in[4], ram/data_in[3], ram/data_in[2], ram/data_in[1], ram/data_in[0], ,
ram/data_out[63:0] =, ram/data_out[63], ram/data_out[62], ram/data_out[61], ram/data_out[60], ram/data_out[59], ram/data_out[58], ram/data_out[57], ram/data_out[56], ram/data_out[55], ram/data_out[54], ram/data_out[53], ram/data_out[52], ram/data_out[51], ram/data_out[50], ram/data_out[49], ram/data_out[48], ram/data_out[47], ram/data_out[46], ram/data_out[45], ram/data_out[44], ram/data_out[43], ram/data_out[42], ram/data_out[41], ram/data_out[40], ram/data_out[39], ram/data_out[38], ram/data_out[37], ram/data_out[36], ram/data_out[35], ram/data_out[34], ram/data_out[33], ram/data_out[32], ram/data_out[31], ram/data_out[30], ram/data_out[29], ram/data_out[28], ram/data_out[27], ram/data_out[26], ram/data_out[25], ram/data_out[24], ram/data_out[23], ram/data_out[22], ram/data_out[21], ram/data_out[20], ram/data_out[19], ram/data_out[18], ram/data_out[17], ram/data_out[16], ram/data_out[15], ram/data_out[14], ram/data_out[13], ram/data_out[12], ram/data_out[11], ram/data_out[10], ram/data_out[9], ram/data_out[8], ram/data_out[7], ram/data_out[6], ram/data_out[5], ram/data_out[4], ram/data_out[3], ram/data_out[2], ram/data_out[1], ram/data_out[0], ,

Data:
time unit: us, CM[7:0], CM[7], CM[6], CM[5], CM[4], CM[3], CM[2], CM[1], CM[0], cnt[3:0], cnt[3], cnt[2], cnt[1], cnt[0], mcData[63:0], mcData[63], mcData[62], mcData[61], mcData[60], mcData[59], mcData[58], mcData[57], mcData[56], mcData[55], mcData[54], mcData[53], mcData[52], mcData[51], mcData[50], mcData[49], mcData[48], mcData[47], mcData[46], mcData[45], mcData[44], mcData[43], mcData[42], mcData[41], mcData[40], mcData[39], mcData[38], mcData[37], mcData[36], mcData[35], mcData[34], mcData[33], mcData[32], mcData[31], mcData[30], mcData[29], mcData[28], mcData[27], mcData[26], mcData[25], mcData[24], mcData[23], mcData[22], mcData[21], mcData[20], mcData[19], mcData[18], mcData[17], mcData[16], mcData[15], mcData[14], mcData[13], mcData[12], mcData[11], mcData[10], mcData[9], mcData[8], mcData[7], mcData[6], mcData[5], mcData[4], mcData[3], mcData[2], mcData[1], mcData[0], ram/data_in[63:0], ram/data_in[63], ram/data_in[62], ram/data_in[61], ram/data_in[60], ram/data_in[59], ram/data_in[58], ram/data_in[57], ram/data_in[56], ram/data_in[55], ram/data_in[54], ram/data_in[53], ram/data_in[52], ram/data_in[51], ram/data_in[50], ram/data_in[49], ram/data_in[48], ram/data_in[47], ram/data_in[46], ram/data_in[45], ram/data_in[44], ram/data_in[43], ram/data_in[42], ram/data_in[41], ram/data_in[40], ram/data_in[39], ram/data_in[38], ram/data_in[37], ram/data_in[36], ram/data_in[35], ram/data_in[34], ram/data_in[33], ram/data_in[32], ram/data_in[31], ram/data_in[30], ram/data_in[29], ram/data_in[28], ram/data_in[27], ram/data_in[26], ram/data_in[25], ram/data_in[24], ram/data_in[23], ram/data_in[22], ram/data_in[21], ram/data_in[20], ram/data_in[19], ram/data_in[18], ram/data_in[17], ram/data_in[16], ram/data_in[15], ram/data_in[14], ram/data_in[13], ram/data_in[12], ram/data_in[11], ram/data_in[10], ram/data_in[9], ram/data_in[8], ram/data_in[7], ram/data_in[6], ram/data_in[5], ram/data_in[4], ram/data_in[3], ram/data_in[2], ram/data_in[1], ram/data_in[0], ram/data_out[63:0], ram/data_out[63], ram/data_out[62], ram/data_out[61], ram/data_out[60], ram/data_out[59], ram/data_out[58], ram/data_out[57], ram/data_out[56], ram/data_out[55], ram/data_out[54], ram/data_out[53], ram/data_out[52], ram/data_out[51], ram/data_out[50], ram/data_out[49], ram/data_out[48], ram/data_out[47], ram/data_out[46], ram/data_out[45], ram/data_out[44], ram/data_out[43], ram/data_out[42], ram/data_out[41], ram/data_out[40], ram/data_out[39], ram/data_out[38], ram/data_out[37], ram/data_out[36], ram/data_out[35], ram/data_out[34], ram/data_out[33], ram/data_out[32], ram/data_out[31], ram/data_out[30], ram/data_out[29], ram/data_out[28], ram/data_out[27], ram/data_out[26], ram/data_out[25], ram/data_out[24], ram/data_out[23], ram/data_out[22], ram/data_out[21], ram/data_out[20], ram/data_out[19], ram/data_out[18], ram/data_out[17], ram/data_out[16], ram/data_out[15], ram/data_out[14], ram/data_out[13], ram/data_out[12], ram/data_out[11], ram/data_out[10], ram/data_out[9], ram/data_out[8], ram/data_out[7], ram/data_out[6], ram/data_out[5], ram/data_out[4], ram/data_out[3], ram/data_out[2], ram/data_out[1], ram/data_out[0],
42, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, A, 1, 0, 1, 0, 0000400D00A10700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0000400D00A10700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 000000400D00A107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1,
43, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, B, 1, 0, 1, 1, 00400D00A1070000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00400D00A1070000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000400D00A10700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,
44, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, C, 1, 1, 0, 0, 400D00A107000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400D00A107000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00400D00A1070000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
45, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, D, 1, 1, 0, 1, 0D00A10700000000, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0D00A10700000000, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400D00A107000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
46, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, E, 1, 1, 1, 0, 00A1070000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00A1070000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0D00A10700000000, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
47, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, F, 1, 1, 1, 1, A107000000000000, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, A107000000000000, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00A1070000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
48, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0700000000000000, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0700000000000000, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, A107000000000000, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
49, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0700000000000000, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
50, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
51, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
52, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
53, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 1, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
54, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 1, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
55, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 1, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
56, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
57, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 1, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
